place_name,author,rating,text
Jetts 24 Hour Fitness Gateway Bang Sue,Kyllian Kailo,2,Don’t bother with this location. Has mostly people that just sit in equipment and play on their phone. Can take you a couple hours to get a workout done. Other locations less crowded and seem to have people that want to work out. Feel like I should get a refund on my membership since I can’t use the machines. Everyone busy on Facebook and tik tok. This person sit like this for over 20 minutes. I want to use and ask. But he won’t move
Jetts 24 Hour Fitness Gateway Bang Sue,O'Maoilcheire Ciaran,4,"3.7/5
Score is below 4 as it is not an optimal gym for heavy hypertrophy training in my opinion. There is only one squat rack/flat bench/leg press. The dumbells go up to 35kg but i couldnt see any 27.5kg or 32.5kg.
There is a sufficient amount of cables and a wide range of nice cardio machines. There are also the usual machines (leg extension/curl etc.), although I couldn‘t see any machines for back.
The 3 day free trial was very covenient!"
Jetts 24 Hour Fitness Gateway Bang Sue,Roman Hüppi,5,"3 days free trial + going one time possible

Great view (amazing) air conditioned and nice showers etc.
Euqipment suited for everyone so not really a gym with just jacked people but it is okay to do everything you want"
Jetts 24 Hour Fitness Gateway Bang Sue,Naphat H,1,"A male trainer with blue hair at Jetts bang Sue was rude to me

A short haired female trainer was rude too at the reception

Fix this problem

I’ll never use ur service again

Bye"
Jetts 24 Hour Fitness Gateway Bang Sue,Pimonmal Rienmahasarn,4,"Usually go in the mornings, generally not busy. Enough equipment for everyone, clean, and provides cleaning equipment. Personal trainers are in general nice and friendly, and provides good advice."
Jetts 24 Hour Fitness - Canvas Phloen Chit,It’s me,4,"This review was coming from someone that has been to over 250 gyms throughout the world. I travel a lot and I constantly try new gyms. This facility is on the smaller side, but it does have everything you need. The staff was extremely friendly, they have offered plenty of drinks, Snacks, and good selection of supplements, including pre-workout, creatine, and protein powder.
This is probably the cleanest gym I’ve been to in the last year or two. If you’re going during slower hours, I would definitely come here. If you go during the busy hours, it may be a little too crowded and small."
Jetts 24 Hour Fitness - Canvas Phloen Chit,Nat Nat,1,"Don’t waste your time calling them. Those who answered usually don’t know anything and will just give you wrong information and waste your time to come all the way to the gym to find out your understanding is completely wrong. I had to go all the way to the store to get the right answer including the cancellation and the transfer of membership. This is what happened when you put incompetence people to the job, even with the one that required only the bare minimum like answering the question.

The gym is always full and all the classes will always be fully booked. Don’t waste your time signing up."
Jetts 24 Hour Fitness - Canvas Phloen Chit,David Gonzalez,1,Day 1 of water filter and toilets out of order. Prize for the  Worst maintenance ever
Jetts 24 Hour Fitness - Canvas Phloen Chit,Shannon Johlic,5,"Very convenient from BTS. Very new and not that crowded compared to other gyms in the area. They have a great selection of free weights and machines for general strength and fitness. (Definitely not a ""bodybuilder"" gym, but I doubt most are looking for that and there are already some good ones of those out there)

Machines are clean
Weights are well organized and good quality
Staff has always been super helpful

Joined 2 months ago and love it every time I go."
Jetts 24 Hour Fitness - Canvas Phloen Chit,Eaindra Soe,1,Terrible customer service. Staff are unhelpful and talk to me with no respect. They don’t explain anything properly. Completely disappointed.
Jetts Black Gaysorn Village เจ็ทส์ แบล็ค เกษร วิลเลจ,Алекс,1,"The gym itself is fine, equipment is good.
But I have to leave just one star because of one truly baffling policy.

They have a Power Plate machine – a device that in every other Bangkok gym (Platinum Fitness, Virgin Active, etc.) is free for members and always available. Here, it’s always turned off. Why? Because they only sell access for 14,500 baht for 12 sessions, each a full hour. Which makes no sense at all. This machine is typically used for just 5 minutes before a workout (to activate muscles) and 5 minutes after (to help recovery). But here, that’s impossible.

I would even be willing to pay a small monthly fee for unlimited use. But they don’t offer that. Instead, the only option is this absurd “12 one-hour sessions” package, which nobody needs. As a result, the machine just sits there unused, helping no one – neither the gym nor the members.

It’s like paying for a gym membership, and then being told the dumbbells or the bench press are extra because they “wear out.” Completely illogical.

If management explains this policy differently, I’ll gladly update my review. But right now, it’s simply nonsense."
Jetts Black Gaysorn Village เจ็ทส์ แบล็ค เกษร วิลเลจ,Patty Patty,5,"This branch may be compact, but everything about it is well thought-out — from the smart layout of machines and equipment, to the warm, respectful atmosphere the staff create the moment you walk in.

The greetings feel genuine, the vibe is welcoming, and even in a smaller space, I feel seen, supported, and valued as a member."
Jetts Black Gaysorn Village เจ็ทส์ แบล็ค เกษร วิลเลจ,Harris Sid,1,Too crowded. Not enough machines. They have more treadmills than anything else. I didn't pay 1500 a month for a freaking treadmill my dude. And the machines that are here are inferior to other gyms. There's no mirrors in front of squat racks so good luck watching your form. Staff is nice but the place is useless. Not worth the price.
Jetts Black Gaysorn Village เจ็ทส์ แบล็ค เกษร วิลเลจ,Nnevvy,1,Very tiny. No bench presses. Not much weighted plates. Not much free weights. Seems to be more cardio focused. Good gym for light weights and ladies. Horrible gym for men and weight training.
Jetts Black Gaysorn Village เจ็ทส์ แบล็ค เกษร วิลเลจ,Eric Hansen,5,"Good selection of Matrix cable machines and weights, not too crowded during the day, good air conditioning 👍"
Jetts 24 Hours Fitness - Siam Square One,S G,3,"Some equipments need to be fixed and maintenance. For the price I don't think it's worth it because of the equipment.

Facility is ok and other amenities.

The staff is friendly and ok."
Jetts 24 Hours Fitness - Siam Square One,Chenyu Liu,5,"As a traveler, I bought a day pass with 500 bait.Facilities in good condition, very well maintained. Shower and toilet is clean. Staffs are very helpful . They make me feeling that Bangkok is such a nice and friendly city. Thank you Jetts"
Jetts 24 Hours Fitness - Siam Square One,Sao Kongpan,4,"Nice place , clean, easy to find. I tried Zumba class for the first time and it was free!!!!"
Jetts 24 Hours Fitness - Siam Square One,Ruby Lib,5,"Good. Available 24 hours. Very crowded at evening. The inside is clean and have well social distancing. The machines have a good maintenance. Bathroom is available but no towel, soap nor shampoo. Free refilled drinking water with your own bottle. The price was proper to its qaulity."
Jetts 24 Hours Fitness - Siam Square One,Alex CP,5,I got a pass for a single month while I was in Bangkok. The staff is very nice and the gym has everything one needs for proper training.
Jetts 24 Hour Fitness - I'm China Town,Natee Chan,5,"With 10 bathrooms here is better than some Jetts branches with an only one small RPM class on Mon,Wed,Fri."
Jetts 24 Hour Fitness - I'm China Town,Chy Chy,5,"Clean, great equipment, spacious functional training area and professional staff
Thank you for the positive trial day experience!
The trial day way easy to book on the website / scan onsite a QR code and then I was ready to test everything out"
Jetts 24 Hour Fitness - I'm China Town,Mae,1,"Watch out if you're a foreigner. Lied about not being able to access other branches with the one month subscription, even though the website says you can access them all. They just wanted me to sign up for more months. Then I tried the 3 day trial, but they said it's only 1 day. Showed them the website before they agreed."
Jetts 24 Hour Fitness - I'm China Town,Math mar,1,"I wanted to put no stars but google doesn't allow it..
I registered online for the free trial (1 day before), when I arrived at the gym I was refused entry because I m a foreigner and that the day pass is 500 baht => no thank you 👋"
Jetts 24 Hour Fitness - I'm China Town,George,5,"Decent gym, empty in the morning. Good amount of equipment (see pictures). Average kind of price, gyms seem pretty pricey in general in Thailand."
Jetts 24 Hour Fitness Stadium One,Jidapa Samphunjaroen,3,"I'd appreciate if the trainer would leave me alone when I am doing my sessions on machine. If I ever need help on my forms or how to use a certain equipment, I will reach out to the trainers by myself. I find it annoying when trainer tries to hard sell their PT package with me, especially when I was on my headphones and didn't want to speak with anyone. (Note that this never happened when I was with Virgin active and Fitness First)

Overall gym is spacious with a lot of machines even during peak hours. The place is clean. 2-hour free parking comes with gym membership too."
Jetts 24 Hour Fitness Stadium One,Bryan Pfister,1,"I wanted to visit on a sunday but day passes are not possible, only MON - FRI.
doesn‘t make sense to me 😁"
Jetts 24 Hour Fitness Stadium One,Veran “Chaī” Treerakulwanich,1,"Mostly great except for the weekend if you drive. A big warning that Stadium One always has shoes sales events at the parking lots, which occupied 90% of the parking space."
Jetts 24 Hour Fitness Stadium One,George,5,"Good size gym, almost empty in the mornings around 8 to 10am. Has separate changing rooms and showers for male/female. Price for jetts gym is average, you can normally ask for a slight discount, particularly if you do more than one month."
Jetts 24 Hour Fitness Stadium One,Laurent Demettre,5,"Good Gym with AC, all the equipments, free classes and they sell supplements.
I paid 5400 bahts for 3 months."
