place_name,author,rating,text
Jetts 24 Hour Fitness Gateway Bang Sue,Kyllian Kailo,2,Don’t bother with this location. Has mostly people that just sit in equipment and play on their phone. Can take you a couple hours to get a workout done. Other locations less crowded and seem to have people that want to work out. Feel like I should get a refund on my membership since I can’t use the machines. Everyone busy on Facebook and tik tok. This person sit like this for over 20 minutes. I want to use and ask. But he won’t move
Jetts 24 Hour Fitness Gateway Bang Sue,Naphat H,1,"A male trainer with blue hair at Jetts bang Sue was rude to me

A short haired female trainer was rude too at the reception

Fix this problem

I’ll never use ur service again

Bye"
Jetts 24 Hour Fitness - Canvas Phloen Chit,David Gonzalez,1,Day 1 of water filter and toilets out of order. Prize for the  Worst maintenance ever
Jetts 24 Hour Fitness - Canvas Phloen Chit,Eaindra Soe,1,Terrible customer service. Staff are unhelpful and talk to me with no respect. They don’t explain anything properly. Completely disappointed.
Jetts 24 Hour Fitness - I'm China Town,Mae,1,"Watch out if you're a foreigner. Lied about not being able to access other branches with the one month subscription, even though the website says you can access them all. They just wanted me to sign up for more months. Then I tried the 3 day trial, but they said it's only 1 day. Showed them the website before they agreed."
Jetts 24 Hour Fitness - I'm China Town,Math mar,1,"I wanted to put no stars but google doesn't allow it..
I registered online for the free trial (1 day before), when I arrived at the gym I was refused entry because I m a foreigner and that the day pass is 500 baht => no thank you 👋"
Jetts 24 Hour Fitness Stadium One,Bryan Pfister,1,"I wanted to visit on a sunday but day passes are not possible, only MON - FRI.
doesn‘t make sense to me 😁"
Jetts 24 Hour Fitness - Canvas Phloen Chit,David Gonzalez,1,Day 1 of water filter and toilets out of order. Prize for the  Worst maintenance ever
Jetts 24 Hour Fitness - Canvas Phloen Chit,Eaindra Soe,1,Terrible customer service. Staff are unhelpful and talk to me with no respect. They don’t explain anything properly. Completely disappointed.
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Max T. Agape Commercial Real Estate Group,1,"Crazy expensive daily pass of $500 THB !!!!!!!
They have more staffs and trainers than the poor number of customers! Equipments are ok, not very impressive with the front staffs , quick to take your money with no service !!!!!!!! I will not return !"
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Ben Werakit,5,"Just opened in Sept last year so this branch is relatively new with much larger space and newer gym & exercise equipments, compared to other branches. The place is easily accessible via the overpass linked to the BTS station but you have to come down to ground floor first, then either climb the narrow stairs down or take the small lift. Since it’s located near many office buildings, you can expect it will be quite crowded with office workers after office hours during weekdays."
